147 80 77
154 101 36
171 73 40
94 52 27
184 152 63
172 100 5
61 49 5
130 103 29
126 61 15
159 85 29
180 105 48
191 122 100
41 38 35
76 62 15
126 84 25
161 147 49
156 106 83
117 90 78
207 128 33
195 140 84
136 46 28
120 104 42
197 147 83
199 109 97
219 169 90
168 76 27
98 80 58
197 118 47
161 89 61
58 55 44
67 40 18
205 108 75
138 83 16
172 77 76
223 152 100
196 155 75
117 85 14
142 113 90
247 150 86
147 101 64
141 65 51
194 139 91
130 118 43
157 88 5
118 76 30
235 144 67
136 114 56
252 168 88
169 80 77
77 73 21
106 54 52
152 123 43
122 103 76
203 108 50
141 50 36
168 70 41
205 119 83
51 34 5
76 70 46
108 59 54
148 94 34
135 104 62
44 35 11
191 103 46
147 95 34
119 61 41
179 102 58
169 110 53
280 182 99
178 177 99
85 53 9
178 176 76
135 102 91
167 68 42
179 93 26
85 81 51
230 149 67
142 85 22
65 56 16
148 141 85
117 48 10
62 52 13
215 173 80
146 111 53
119 93 0
265 165 84
110 13 3
127 79 50
168 106 28
151 60 24
41 12 3
167 75 47
92 37 20
117 73 35
113 102 99
181 124 73
187 114 20
92 76 33
78 69 3
212 116 47
