1760 1116 577
1570 1306 533
1169 835 691
1175 1125 308
1012 843 395
1227 1008 413
1041 261 37
1214 829 804
1130 977 831
1266 628 331
1502 970 618
1966 1480 950
1249 899 164
1900 1354 516
1680 688 302
1144 752 226
1041 475 334
1532 880 761
898 470 14
1939 1111 605
1790 896 627
728 292 229
1697 1647 924
1274 926 611
1149 1118 811
1281 1245 662
655 294 175
1652 1496 588
1651 911 633
1980 1363 654
1525 1055 745
1252 721 416
793 635 396
1421 721 36
798 579 81
1084 523 295
1762 948 97
2006 1180 718
1630 1134 610
1536 682 1
806 762 361
1325 1153 728
375 177 16
822 283 156
1583 787 761
541 313 37
2120 1563 782
1553 924 650
1558 691 386
1867 1184 866
1284 1005 411
1857 1118 518
1935 1067 373
1364 1161 502
1473 644 467
1816 906 413
961 94 3
988 652 84
1154 1028 778
1590 767 193
1735 1249 836
1469 1111 209
1021 838 611
1767 1690 982
1957 1554 720
2104 1491 773
1500 909 731
2222 1251 511
1838 842 742
1867 1794 956
1853 1156 563
766 499 385
1126 910 470
2025 1724 845
2252 1412 674
880 626 428
1867 1311 748
2361 1649 986
1766 1746 941
1404 888 35
826 618 450
918 643 595
1188 768 331
1446 1327 633
2017 1385 482
1107 1009 943
1677 1396 649
2119 1431 764
1891 973 958
2183 1543 952
1562 858 671
1976 1427 963
1949 1847 895
1448 1193 288
2206 1763 997
1503 572 246
2594 1775 987
640 480 378
1375 1273 706
1119 154 8
1900 902 525
2342 1554 868
668 417 122
2504 1609 711
1083 127 82
734 569 89
1430 916 33
1486 633 249
1577 1361 930
935 854 778
1464 1022 192
2492 1653 861
2001 1065 798
2035 1163 979
1740 983 281
1685 1224 810
708 308 133
1809 1017 806
2361 1835 957
1888 1282 784
2115 1368 572
1984 1357 997
729 635 452
1606 1353 665
1368 895 734
1432 818 576
1285 1167 797
906 582 255
2191 1398 571
2288 1371 963
1603 800 170
1838 865 652
655 130 51
2632 1690 827
1539 1345 935
1206 315 69
1782 1051 980
1386 449 227
2220 1839 908
1938 1349 906
1152 1144 829
1785 1079 111
1252 1178 796
1739 915 323
2175 1421 517
2017 1513 717
1809 1131 911
768 559 371
565 412 21
1344 923 381
